query,location_canonical,kind,state,lat,lon,population,confidence
new orleans creole queen boat ride,New Orleans,city,LA,29.95465,-90.07507,362701,0.95
"new orleans,la",New Orleans,city,LA,29.95465,-90.07507,362701,0.95
new orleans airport parking,New Orleans,city,LA,29.95465,-90.07507,362701,0.95
medical marijuana card louisiana,Louisiana,state,LA,,,0,0.93
new orleans haunted ghost tour,New Orleans,city,LA,29.95465,-90.07507,362701,0.95
new orleans cruise port,New Orleans,city,LA,29.95465,-90.07507,362701,0.95
"marijuana doctors in pensacola, fl",Pensacola,city,FL,30.42131,-87.21691,53724,0.95
new orleans gost tour,New Orleans,city,LA,29.95465,-90.07507,362701,0.95
cincinnati fest concert,Cincinnati,city,OH,39.12711,-84.51439,311097,0.95
gulf island water park mississippi,Mississippi,state,MS,,,0,0.93
bus tour new orleans,New Orleans,city,LA,29.95465,-90.07507,362701,0.95
nola twerkin tiki boat,New Orleans,city,LA,29.95465,-90.07507,362701,0.9
ghost tours new orleans,New Orleans,city,LA,29.95465,-90.07507,362701,0.95
mándaly bay,Bay Village,city,OH,41.48477,-81.92208,15402,0.9
"new orleans, louisiana",Louisiana,state,LA,,,0,0.93
new orleans bike tour,New Orleans,city,LA,29.95465,-90.07507,362701,0.95
day date new orleans,New Orleans,city,LA,29.95465,-90.07507,362701,0.95
new orleans swamp,New Orleans,city,LA,29.95465,-90.07507,362701,0.95
entertainment tickets for tennessee,Tennessee,state,TN,,,0,0.93
new orleans  food tourfood tour,New Orleans,city,LA,29.95465,-90.07507,362701,0.95
cruise ship transport rome,Rome,city,GA,34.25704,-85.16467,36323,0.95
"semigluetide weight loss treatments , new orleans la",New Orleans,city,LA,29.95465,-90.07507,362701,0.95
"hotel orlando, fl",Orlando,city,FL,28.53834,-81.37924,334854,0.95
prytania theater,,,,,,0,0.0
new orleans cooking class,New Orleans,city,LA,29.95465,-90.07507,362701,0.95
vetver patchouli,,,,,,0,0.0
jam nola museum new orleans,New Orleans,city,LA,29.95465,-90.07507,362701,0.95
new york city helecopter rides,New York City,city,NY,40.71427,-74.00597,8804190,0.95
new orleans hop on hop off,New Orleans,city,LA,29.95465,-90.07507,362701,0.95
panama-city-beach,Panama City Beach,city,FL,30.17659,-85.80549,12624,0.95
"mardi gras cooking, new orleans",New Orleans,city,LA,29.95465,-90.07507,362701,0.95
us park and fly,Anderson,city,SC,34.50344,-82.65013,27335,0.9
hi new orleans,New Orleans,city,LA,29.95465,-90.07507,362701,0.95
pure florida naples,Naples,city,FL,26.14234,-81.79596,21512,0.95
universa studios orlando,Orlando,city,FL,28.53834,-81.37924,334854,0.95
nola ghostriders,New Orleans,city,LA,29.95465,-90.07507,362701,0.9
drink making in new orleans,New Orleans,city,LA,29.95465,-90.07507,362701,0.95
six flags san sntonio,San Diego,city,CA,32.71571,-117.16472,1404452,0.9
airboat adventures new orleans,New Orleans,city,LA,29.95465,-90.07507,362701,0.95
nola ghost riders,New Orleans,city,LA,29.95465,-90.07507,362701,0.9
new orleans go city,New Orleans,city,LA,29.95465,-90.07507,362701,0.95
titanic new orleans,New Orleans,city,LA,29.95465,-90.07507,362701,0.95
wolf lodge virginia,Virginia,state,VA,,,0,0.93
central myrtle beach,Myrtle Beach,city,SC,33.68906,-78.88669,31035,0.95
stroudburgs,,,,,,0,0.0
new york laser loft,York,city,PA,39.9626,-76.72774,43992,0.95
date night nyc manhattan,Manhattan,city,KS,39.18361,-96.57167,56308,0.95
america dreams,,,,,,0,0.0
jamiaca,,,,,,0,0.0
king's theater in brooklyn,Brooklyn,city,NY,40.6501,-73.94958,2736074,0.95
london theater,London,city,OH,39.88645,-83.44825,10060,0.95
coney island aquarium,Coney Island,city,NY,40.57788,-73.99403,60000,0.95
new york city pictures,New York City,city,NY,40.71427,-74.00597,8804190,0.95
cruises out of new york or new jersey,York,city,PA,39.9626,-76.72774,43992,0.95
airport parking new york,York,city,PA,39.9626,-76.72774,43992,0.95
real estate u new york,York,city,PA,39.9626,-76.72774,43992,0.95
new york internacional auto show,York,city,PA,39.9626,-76.72774,43992,0.95
wine tour san francisco,San Francisco,city,CA,37.77493,-122.41942,827526,0.95
3 days tours to canada,,,,,,0,0.0
tower one new york,York,city,PA,39.9626,-76.72774,43992,0.95
los cabo’s,,,,,,0,0.0
new york brooklyn hotel,Brooklyn,city,NY,40.6501,-73.94958,2736074,0.95
magic kingdom tickets florida,Florida,state,FL,,,0,0.93
"healthway medical, p.c.",,,,,,0,0.0
"funplex mount laurel, nj",Mount Laurel,city,NJ,39.934,-74.891,41864,0.95
sacramento california,Sacramento,city,CA,38.58157,-121.4944,524943,0.95
restaurants downtown manhattan,Manhattan,city,KS,39.18361,-96.57167,56308,0.95
hotels in manhatan,,,,,,0,0.0
miami cubsn link,Miami,city,FL,25.77427,-80.19366,487014,0.95
central park bike new york city,New York City,city,NY,40.71427,-74.00597,8804190,0.95
"flight and hotel packages to charlotte, nc",Charlotte,city,NC,35.22709,-80.84313,911311,0.95
paintball atlanta,Atlanta,city,GA,33.749,-84.38798,510823,0.95
eyebrow lamination  new jersey,New Jersey,state,NJ,,,0,0.93
atlantic city air bnb,Atlantic City,city,NJ,39.36415,-74.42306,39260,0.95
nyc city lights cruise,Manhattan,city,NY,40.78343,-73.96625,1487536,0.9
west lafayette indiana,Lafayette,city,LA,30.22409,-92.01984,121374,0.95
manhattan kayak,Manhattan,city,KS,39.18361,-96.57167,56308,0.95
nfl chicago bears,Chicago,city,IL,41.85003,-87.65005,2664452,0.95
sichuan,,,,,,0,0.0
atlantic  city cesar palace,Atlantic City,city,NJ,39.36415,-74.42306,39260,0.95
park central hotel new york,York,city,PA,39.9626,-76.72774,43992,0.95
toronto canada activities,,,,,,0,0.0
bernida cruise  from new york,York,city,PA,39.9626,-76.72774,43992,0.95
arctic,,,,,,0,0.0
atlantic city ocean spa,Atlantic City,city,NJ,39.36415,-74.42306,39260,0.95
go city new york explorer pass,York,city,PA,39.9626,-76.72774,43992,0.95
kalahari  waterpark,,,,,,0,0.0
new york beauty,York,city,PA,39.9626,-76.72774,43992,0.95
all inclusive pass manhattan,Manhattan,city,KS,39.18361,-96.57167,56308,0.95
car wash north babylon new york,York,city,PA,39.9626,-76.72774,43992,0.95
brooklyn spas,Brooklyn,city,NY,40.6501,-73.94958,2736074,0.95
tokyo milj,,,,,,0,0.0
massages bronx,The Bronx,city,NY,40.84985,-73.86641,1385108,0.9
stay at rehoboth beach hotel,Rehoboth,city,MA,41.84038,-71.24949,11486,0.95
free things to do in new york city on saturday,New York City,city,NY,40.71427,-74.00597,8804190,0.95
trips mexico,Mexico,city,MO,39.16976,-91.88295,11660,0.95
weight loss bronx,The Bronx,city,NY,40.84985,-73.86641,1385108,0.9
atlantic beach peru resortl,Atlantic Beach,city,FL,30.33441,-81.3987,13193,0.95
hotel in ocean city maryland,Ocean City,city,NJ,39.27762,-74.5746,11355,0.95
air b n b new york,York,city,PA,39.9626,-76.72774,43992,0.95
new york sightsee,York,city,PA,39.9626,-76.72774,43992,0.95
aquarium brooklyn member,Brooklyn,city,NY,40.6501,-73.94958,2736074,0.95
qc spa new york,York,city,PA,39.9626,-76.72774,43992,0.95
sea food restaurant  in manhattan,Manhattan,city,KS,39.18361,-96.57167,56308,0.95
asbury park beer,Asbury Park,city,NJ,40.22039,-74.01208,15818,0.95
west new york nj,West New York,city,NJ,40.78788,-74.01431,53366,0.95
notary training new york,York,city,PA,39.9626,-76.72774,43992,0.95
wantagh new york,York,city,PA,39.9626,-76.72774,43992,0.95
green meadows farm in brooklyn,Brooklyn,city,NY,40.6501,-73.94958,2736074,0.95
san bruno,San Bruno,city,CA,37.63049,-122.41108,43185,0.95
cruise dinner  in new york,York,city,PA,39.9626,-76.72774,43992,0.95
spa east 51st new york ny,York,city,PA,39.9626,-76.72774,43992,0.95
manhattan by sail beer cruise,Manhattan,city,KS,39.18361,-96.57167,56308,0.95
tours in new york,York,city,PA,39.9626,-76.72774,43992,0.95
horseback riding virginia area,Virginia,state,VA,,,0,0.93
vegandale new york city,New York City,city,NY,40.71427,-74.00597,8804190,0.95
new york real estate agent,York,city,PA,39.9626,-76.72774,43992,0.95
flights to tampa from new york,Tampa,city,FL,27.94752,-82.45843,414547,0.95
"long island city, ny",Long Island City,city,NY,40.74482,-73.94875,25595,0.95
doha qatar,,,,,,0,0.0
gramecy park,,,,,,0,0.0
facial new york city,New York City,city,NY,40.71427,-74.00597,8804190,0.95
new jersey real estate class and license course,New Jersey,state,NJ,,,0,0.93
florida miami,Miami,city,FL,25.77427,-80.19366,487014,0.95
hotels in north bergen nj,North Bergen,city,NJ,40.80427,-74.01208,63484,0.95
janet jackson hartford,Hartford,city,CT,41.76371,-72.68509,121054,0.95
"spas near glen cove, new york",York,city,PA,39.9626,-76.72774,43992,0.95
new york hop up bus tour,York,city,PA,39.9626,-76.72774,43992,0.95
"williamsburg, brooklyn",Brooklyn,city,NY,40.6501,-73.94958,2736074,0.95
kids activities in orlando,Orlando,city,FL,28.53834,-81.37924,334854,0.95
massage envy new jersey,New Jersey,state,NJ,,,0,0.93
"2200 w olympic blvd, los angeles, ca, us star rati",Los Angeles,city,CA,34.05223,-118.24368,3820914,0.95
long island swim,Long Island City,city,NY,40.74482,-73.94875,25595,0.9
lake george cottage,,,,,,0,0.0
city cruises new york pier 61,York,city,PA,39.9626,-76.72774,43992,0.95
four general admission tickets - new york comedy c,York,city,PA,39.9626,-76.72774,43992,0.95
island water parl,,,,,,0,0.0
mahalo diamond beach,Diamond Springs,city,CA,38.69463,-120.81494,11037,0.9
"244 canal street, new york, ny 10013",York,city,PA,39.9626,-76.72774,43992,0.95
south korea travel,,,,,,0,0.0
all you can eat japan,Wenatchee,city,WA,47.42346,-120.31035,33636,0.9
call bibibrooklyn brooklyn new york chemical peel,Brooklyn,city,NY,40.6501,-73.94958,2736074,0.95
"22011 southwest fwy richmond, tx  77469 united sta",Richmond,city,IN,39.82894,-84.89024,35854,0.95
west garden spa,Spartanburg,city,SC,34.94957,-81.93205,37867,0.9
italy in july,,,,,,0,0.0
fabio’s hair,,,,,,0,0.0
br3,,,,,,0,0.0
atlantic ccity,,,,,,0,0.0
nassau county in new york,York,city,PA,39.9626,-76.72774,43992,0.95
club wynham atlantic city,Atlantic City,city,NJ,39.36415,-74.42306,39260,0.95
gealy,,,,,,0,0.0
day spa in new york,York,city,PA,39.9626,-76.72774,43992,0.95
hotel in baltimore,Baltimore,city,MD,39.29038,-76.61219,585708,0.95
yoga manhattan,Manhattan,city,KS,39.18361,-96.57167,56308,0.95
havana restaurant,,,,,,0,0.0
kls spa in brooklyn,Brooklyn,city,NY,40.6501,-73.94958,2736074,0.95
new york empire state building,York,city,PA,39.9626,-76.72774,43992,0.95
south street seaport,,,,,,0,0.0
all inclusive hotels and flights to colombia,Anderson,city,SC,34.50344,-82.65013,27335,0.9
new york tickets,York,city,PA,39.9626,-76.72774,43992,0.95
queens new york city,New York City,city,NY,40.71427,-74.00597,8804190,0.95
jamaica festival,Jamaica,city,NY,40.69149,-73.80569,216866,0.95
new york states,York,city,PA,39.9626,-76.72774,43992,0.95
kertan,,,,,,0,0.0
helicopter tour new york,York,city,PA,39.9626,-76.72774,43992,0.95
"parking 207 w 56th st, new york, ny 10106",York,city,PA,39.9626,-76.72774,43992,0.95
new york state real estateschol,York,city,PA,39.9626,-76.72774,43992,0.95
new york go city pass,York,city,PA,39.9626,-76.72774,43992,0.95
nwe york,York,city,PA,39.9626,-76.72774,43992,0.95
island spa and sauna new jersey,New Jersey,state,NJ,,,0,0.93
"colonic, nassau county",,,,,,0,0.0
courtyard marriott upper east side new york,York,city,PA,39.9626,-76.72774,43992,0.95
body works floral park nassau county,Floral Park,city,NY,40.72371,-73.70485,15969,0.95
boat ride new york,York,city,PA,39.9626,-76.72774,43992,0.95
clifton park spa,Clifton Park,city,NY,42.86563,-73.77095,36705,0.95
kennedy space center orlando,Orlando,city,FL,28.53834,-81.37924,334854,0.95
manhatan city view bus,,,,,,0,0.0
jersey city cheap hotels,Jersey City,city,NJ,40.72816,-74.07764,264290,0.95
manhattan night,Manhattan,city,KS,39.18361,-96.57167,56308,0.95
new york birthday,York,city,PA,39.9626,-76.72774,43992,0.95
the manhattan boat,Manhattan,city,KS,39.18361,-96.57167,56308,0.95
cruise from ny to bahamas,,,,,,0,0.0
anderson gardens rockford illinois,Rockford,city,IL,42.27113,-89.094,148278,0.95
the taste of brazil nj,,,,,,0,0.0
discount flight ticket from atlanta to new york on,Atlanta,city,GA,33.749,-84.38798,510823,0.95
new york art studio,York,city,PA,39.9626,-76.72774,43992,0.95
picosuee,,,,,,0,0.0
central park bike ride,Bethpage,city,NY,40.74427,-73.48207,16429,0.9
delaware water gap raft,Delaware,city,OH,40.29867,-83.06797,37995,0.95
manhattan tours,Manhattan,city,KS,39.18361,-96.57167,56308,0.95
florida real estate agent,Florida,state,FL,,,0,0.93
pet grooming in the bronx,The Bronx,city,NY,40.84985,-73.86641,1385108,0.95
colombia vs bolivia,,,,,,0,0.0
restaurants in new york,York,city,PA,39.9626,-76.72774,43992,0.95
dominican republic pundakana,Republic,city,MO,37.12005,-93.48019,16005,0.95
helicopter jfk to manhattan,Manhattan,city,KS,39.18361,-96.57167,56308,0.95
newport beach californoa,Newport Beach,city,CA,33.61891,-117.92895,87127,0.95
westerville ohio,Westerville,city,OH,40.12617,-82.92907,38384,0.95
"atlantic city, new jersey",Atlantic City,city,NJ,39.36415,-74.42306,39260,0.95
new york crown reserve,York,city,PA,39.9626,-76.72774,43992,0.95
dental cleaning bronx ny,The Bronx,city,NY,40.84985,-73.86641,1385108,0.9
chinesese food in new york city,New York City,city,NY,40.71427,-74.00597,8804190,0.95
burberry london women,London,city,OH,39.88645,-83.44825,10060,0.95
broadway show new york,York,city,PA,39.9626,-76.72774,43992,0.95
1-day washington dc,District of Columbia,region,DC,,,0,0.93
new york city jet ski,New York City,city,NY,40.71427,-74.00597,8804190,0.95
jersey city hotels,Jersey City,city,NJ,40.72816,-74.07764,264290,0.95
new york cruise line,York,city,PA,39.9626,-76.72774,43992,0.95
japan deals,,,,,,0,0.0
manhattan facials,Manhattan,city,KS,39.18361,-96.57167,56308,0.95
spa edge water new jersey,New Jersey,state,NJ,,,0,0.93
asia concert,,,,,,0,0.0
brooklyn sports,Brooklyn,city,NY,40.6501,-73.94958,2736074,0.95
concerts in new york,York,city,PA,39.9626,-76.72774,43992,0.95
cruises to nowhere out of new york,York,city,PA,39.9626,-76.72774,43992,0.95
tokyo japanese,,,,,,0,0.0
rockway beach hotel,,,,,,0,0.0
colloesum tour italy,,,,,,0,0.0
jfk parking new york,York,city,PA,39.9626,-76.72774,43992,0.95
embassy suites boston,Boston,city,MA,42.35843,-71.05977,653833,0.95
jamaica all inclusive resort,Jamaica,city,NY,40.69149,-73.80569,216866,0.95
hotels niagra falls canada,,,,,,0,0.0
roller skatong,,,,,,0,0.0
"gymnastics  for toddlers in manhattan, n.y.",Manhattan,city,KS,39.18361,-96.57167,56308,0.95
new york city elite,New York City,city,NY,40.71427,-74.00597,8804190,0.95
parking garage manhattan ny,Manhattan,city,KS,39.18361,-96.57167,56308,0.95
north river lobster,North Salt Lake,city,UT,40.84856,-111.90688,19796,0.9
manhattan sail,Manhattan,city,KS,39.18361,-96.57167,56308,0.95
la's microblading,,,,,,0,0.0
jone beach,,,,,,0,0.0
miami southbeach,Miami,city,FL,25.77427,-80.19366,487014,0.95
kingshighway brooklyn medispa laser,Brooklyn,city,NY,40.6501,-73.94958,2736074,0.95
ginko spa nassau county ny,Spartanburg,city,SC,34.94957,-81.93205,37867,0.9
hawaii sandbar,Hawaii,state,HI,,,0,0.93
nysci,,,,,,0,0.0
seagarden beach resort,,,,,,0,0.0
art expo pier 36 220 south street nyc,Manhattan,city,NY,40.78343,-73.96625,1487536,0.9
dejuno luggage,,,,,,0,0.0
la petite joie,,,,,,0,0.0
bus from atlantic city,Atlantic City,city,NJ,39.36415,-74.42306,39260,0.95
connecticut acuarium,Connecticut,state,CT,,,0,0.93
corina,,,,,,0,0.0
nashville pedal bar,Nashville,city,TN,36.16589,-86.78444,689447,0.95
kanga playcenter,,,,,,0,0.0
hills and valley grenada wi,Grenada,city,MS,33.769,-89.80842,12900,0.95
south carolina hotel,South Carolina,state,SC,,,0,0.93
mona studio,,,,,,0,0.0
"kalahari indoor waterpark, 250 kalahari blvd, pocono manor, pa 18349",,,,,,0,0.0
wyndham lake buena visit,Windham,city,NH,42.80064,-71.30423,13091,0.9
kids events in brooklyn new york,Brooklyn,city,NY,40.6501,-73.94958,2736074,0.95
hotel near miami beach florida with balcony,Miami Beach,city,FL,25.79065,-80.13005,92312,0.95
new york children,York,city,PA,39.9626,-76.72774,43992,0.95
hop on hop off pass new york,York,city,PA,39.9626,-76.72774,43992,0.95
"nickelodeon park, american dream",,,,,,0,0.0
turkish spa miami,Miami,city,FL,25.77427,-80.19366,487014,0.95
korea hair,,,,,,0,0.0
new york comedy,York,city,PA,39.9626,-76.72774,43992,0.95
central park e-bike rentals,Bethpage,city,NY,40.74427,-73.48207,16429,0.9
manhattan fencing,Manhattan,city,KS,39.18361,-96.57167,56308,0.95
albany newyork hotels,Albany,city,GA,31.57851,-84.15574,74843,0.95
ferox nija park,,,,,,0,0.0
travels  scotland,,,,,,0,0.0
brow tatto,,,,,,0,0.0
puerto rico horseback riding,Reading,city,MA,42.52565,-71.09533,24747,0.9
prenatal massage new york,York,city,PA,39.9626,-76.72774,43992,0.95
south beach miami fairwind,Miami,city,FL,25.77427,-80.19366,487014,0.95
hop on hop off new york for kids,York,city,PA,39.9626,-76.72774,43992,0.95
nyc hotels in lower manhattan,Manhattan,city,KS,39.18361,-96.57167,56308,0.95
lima peru,Lima,city,OH,40.74255,-84.10523,37873,0.95
monthly parking new york,York,city,PA,39.9626,-76.72774,43992,0.95
limo service from queens to new york city center,New York City,city,NY,40.71427,-74.00597,8804190,0.95
new york city boat cruise,New York City,city,NY,40.71427,-74.00597,8804190,0.95
boxing bronx,The Bronx,city,NY,40.84985,-73.86641,1385108,0.9
parking upper east side manhattan,Manhattan,city,KS,39.18361,-96.57167,56308,0.95
mole removal philadelphia,Philadelphia,city,PA,39.95238,-75.16362,1573916,0.95
brunch in manhattan,Manhattan,city,KS,39.18361,-96.57167,56308,0.95
kentucky darby events,Darby,city,PA,39.91845,-75.25907,10687,0.95
cruises to the caribbean,,,,,,0,0.0
new york knicks,York,city,PA,39.9626,-76.72774,43992,0.95
new york activity,York,city,PA,39.9626,-76.72774,43992,0.95
arlo wynwood miami,Miami,city,FL,25.77427,-80.19366,487014,0.95
manhattan restaurants,Manhattan,city,KS,39.18361,-96.57167,56308,0.95
new york aquarium coney island,Coney Island,city,NY,40.57788,-73.99403,60000,0.95
launch trampoline brooklyn,Brooklyn,city,NY,40.6501,-73.94958,2736074,0.95
lisbon portugal,,,,,,0,0.0
orlando car rental,Orlando,city,FL,28.53834,-81.37924,334854,0.95
regal cinema new roc,Rochester,city,NY,43.15478,-77.61556,209802,0.9
new york city water tour,New York City,city,NY,40.71427,-74.00597,8804190,0.95
botox in brooklyn,Brooklyn,city,NY,40.6501,-73.94958,2736074,0.95
restaurants bronx,The Bronx,city,NY,40.84985,-73.86641,1385108,0.9
dry needlin,,,,,,0,0.0
car rental jupiter florida,Jupiter,city,FL,26.93422,-80.09421,62707,0.95
cozy earth blanket,,,,,,0,0.0
kalahari  pocono,,,,,,0,0.0
"hotels elsmere, delaware",Delaware,city,OH,40.29867,-83.06797,37995,0.95
architecture tour new york,York,city,PA,39.9626,-76.72774,43992,0.95
tampa restaurants,Tampa,city,FL,27.94752,-82.45843,414547,0.95
travel to washington,Washington,city,DC,38.89511,-77.03637,689545,0.95
new jersey spa sojo,New Jersey,state,NJ,,,0,0.93
queenslazerbar,,,,,,0,0.0
bellydance america,,,,,,0,0.0
manhattan massage,Manhattan,city,KS,39.18361,-96.57167,56308,0.95
switzerland trip,,,,,,0,0.0
thriller boat miami,Miami,city,FL,25.77427,-80.19366,487014,0.95
venus freeze in new york,York,city,PA,39.9626,-76.72774,43992,0.95
sewing classes nassau county new york,York,city,PA,39.9626,-76.72774,43992,0.95
coach new york blue 3 piece edt cologne gift set for men,York,city,PA,39.9626,-76.72774,43992,0.95
ticket redbull new york,York,city,PA,39.9626,-76.72774,43992,0.95
hotels near galleria drive middletown ny,Middletown,city,DE,39.44956,-75.71632,20372,0.95
"bronx, ny 10465",The Bronx,city,NY,40.84985,-73.86641,1385108,0.9
"suffolk county, ny",Suffolk,city,VA,36.72836,-76.58496,88161,0.95
atlantic city concert,Atlantic City,city,NJ,39.36415,-74.42306,39260,0.95
new york boat tours,York,city,PA,39.9626,-76.72774,43992,0.95
vienna austria,Vienna,city,VA,38.90122,-77.26526,16522,0.95
new york liberty,York,city,PA,39.9626,-76.72774,43992,0.95
hot air balloon rides in new york,York,city,PA,39.9626,-76.72774,43992,0.95
dinner cruise toronto canada,,,,,,0,0.0
unlimited mimosas cruise,,,,,,0,0.0
yacht nyc,Manhattan,city,NY,40.78343,-73.96625,1487536,0.9
fishing in south jersey,,,,,,0,0.0
sail into splendor: awe-inspiring 60-minute narrated boat tour of statu..new york skyline .,York,city,PA,39.9626,-76.72774,43992,0.95
parking manhattan cruise terminal,Manhattan,city,KS,39.18361,-96.57167,56308,0.95
midtown manhatan tours,,,,,,0,0.0
hotel en manhattan,Manhattan,city,KS,39.18361,-96.57167,56308,0.95
millbrook vineyards,Millbrook,city,AL,32.47986,-86.36192,15314,0.95
dance class for kids in brooklyn,Brooklyn,city,NY,40.6501,-73.94958,2736074,0.95
air bnb florida,Florida,state,FL,,,0,0.93
32 ashland street taunton,Taunton,city,MA,41.9001,-71.08977,56789,0.95
bus new york to boston,Boston,city,MA,42.35843,-71.05977,653833,0.95
iconic tours new york,York,city,PA,39.9626,-76.72774,43992,0.95
manhattan cruise port,Manhattan,city,KS,39.18361,-96.57167,56308,0.95
jujitsu schools,,,,,,0,0.0
"1633 broadway, manhattan, ny 10019",Manhattan,city,KS,39.18361,-96.57167,56308,0.95
acrylic nail courses new york,York,city,PA,39.9626,-76.72774,43992,0.95
new york cruise package,York,city,PA,39.9626,-76.72774,43992,0.95
big bus manhattan,Manhattan,city,KS,39.18361,-96.57167,56308,0.95
middle village,Middle Village,city,NY,40.71649,-73.88125,29491,0.95
dubai frame,,,,,,0,0.0
south street seaport restaurants,,,,,,0,0.0
"makeup application king of prussia, pa",King of Prussia,city,PA,40.08927,-75.39602,19936,0.95
flychicago,,,,,,0,0.0
long island winery tours,Long Island City,city,NY,40.74482,-73.94875,25595,0.9
hugh jackman from new york with love,York,city,PA,39.9626,-76.72774,43992,0.95
manicure pedicure bronx,The Bronx,city,NY,40.84985,-73.86641,1385108,0.9
mountain creek park tickets,Baytown,city,TX,29.7355,-94.97743,76335,0.9
new york couples,York,city,PA,39.9626,-76.72774,43992,0.95
museum of evolutions new york city,New York City,city,NY,40.71427,-74.00597,8804190,0.95
bahamas with airfare,,,,,,0,0.0
mount creek stay,Baytown,city,TX,29.7355,-94.97743,76335,0.9
bioluminescent bay (mosquito bay) tours and tickets,Anderson,city,SC,34.50344,-82.65013,27335,0.9
catskills new york cabins,York,city,PA,39.9626,-76.72774,43992,0.95
manhattan view helicopter,Manhattan,city,KS,39.18361,-96.57167,56308,0.95
portugal 8 day,Dayton,city,OH,39.75895,-84.19161,135512,0.9
cupping manhattan,Manhattan,city,KS,39.18361,-96.57167,56308,0.95
bus tickets to albany,Albany,city,GA,31.57851,-84.15574,74843,0.95
resorts in jamaica,Jamaica,city,NY,40.69149,-73.80569,216866,0.95
ludlow vermont,Ludlow,city,MA,42.16009,-72.47592,22201,0.95
annabel’s italian restaurant,,,,,,0,0.0
lego land massachusetts,Massachusetts,state,MA,,,0,0.93
yorktown new york,York,city,PA,39.9626,-76.72774,43992,0.95
new york city boat tour,New York City,city,NY,40.71427,-74.00597,8804190,0.95
a light ticket and hotel in jamaica,Jamaica,city,NY,40.69149,-73.80569,216866,0.95
nail salons in florham park nj,Florham Park,city,NJ,40.78788,-74.38821,11835,0.95
circadia platinum facial,,,,,,0,0.0
alora spa,Spartanburg,city,SC,34.94957,-81.93205,37867,0.9
london ennglnd,London,city,OH,39.88645,-83.44825,10060,0.95
"secaucus, nj",Secaucus,city,NJ,40.78955,-74.05653,19104,0.95
underground station in new york,York,city,PA,39.9626,-76.72774,43992,0.95
"jersey city, nj",Jersey City,city,NJ,40.72816,-74.07764,264290,0.95
nails in north jersey,North Salt Lake,city,UT,40.84856,-111.90688,19796,0.9
new jersey shore vacation rentals,New Jersey,state,NJ,,,0,0.93
moon palace jamaica all-inclusive resort,Jamaica,city,NY,40.69149,-73.80569,216866,0.95
hotels amish country pennsylvania,Pennsylvania,state,PA,,,0,0.93
tanning washington nj,Washington,city,DC,38.89511,-77.03637,689545,0.95
lipoplastick neck papada,,,,,,0,0.0
painting class new jersey,New Jersey,state,NJ,,,0,0.93
aquairium in atlantic city,Atlantic City,city,NJ,39.36415,-74.42306,39260,0.95
new jersey hotel with pool,New Jersey,state,NJ,,,0,0.93
"kalaharia, pa",,,,,,0,0.0
galleria at crystal run spring carnival,Spring,city,TX,30.07994,-95.41716,54298,0.95
bronx nyc,Manhattan,city,NY,40.78343,-73.96625,1487536,0.9
ocean city matyland,Ocean City,city,NJ,39.27762,-74.5746,11355,0.95
clearwater florida all inclusive,Clearwater,city,FL,27.96585,-82.8001,117292,0.95
ku.o in stamford,Stamford,city,CT,41.05343,-73.53873,128874,0.95
"johany hair salon, jersey city nj",Jersey City,city,NJ,40.72816,-74.07764,264290,0.95
urban air in new jersey,New Jersey,state,NJ,,,0,0.93
top view night miami,Miami,city,FL,25.77427,-80.19366,487014,0.95
detail\,,,,,,0,0.0
scalp detox new york,York,city,PA,39.9626,-76.72774,43992,0.95
nail salon virginia,Virginia,state,VA,,,0,0.93
whale watching near atlantic city,Atlantic City,city,NJ,39.36415,-74.42306,39260,0.95
new jersey renaissance faire,New Jersey,state,NJ,,,0,0.93
bergen county,,,,,,0,0.0
atlantic house resturant,,,,,,0,0.0
sheepshead bay whale watching in brooklyn,Brooklyn,city,NY,40.6501,-73.94958,2736074,0.95
korean body scrub bergen county,,,,,,0,0.0
mystic dunes florida,Florida,state,FL,,,0,0.93
rafting near exploria resorts,,,,,,0,0.0
la city tour,,,,,,0,0.0
hotele in atlantic city,Atlantic City,city,NJ,39.36415,-74.42306,39260,0.95
aruba pasajes,,,,,,0,0.0
florida marine science center,Florida,state,FL,,,0,0.93
florida island tours,Florida,state,FL,,,0,0.93
panama city zoo,Panama City,city,FL,30.15946,-85.65983,38286,0.95
south florida limo,Florida,state,FL,,,0,0.93
golf avon park florida,Avon Park,city,FL,27.59587,-81.50619,10086,0.95
crystal river kayak and dive company,Crystal,city,MN,45.03274,-93.36023,22943,0.95
"decatur, georgia",Decatur,city,AL,34.60593,-86.98334,55437,0.95
bartending class near jacksonville fl,Jacksonville,city,AL,33.81382,-85.7613,12222,0.95
gainsville,,,,,,0,0.0
panama city zoo world,Panama City,city,FL,30.15946,-85.65983,38286,0.95
lagoon amusement park utah,Utah,state,UT,,,0,0.93
utah kids club,Utah,state,UT,,,0,0.93
black hills gold mine,,,,,,0,0.0
logan utah,Logan,city,PA,40.02845,-75.15157,21926,0.95
escape rooms salt lake county,Salt Lake City,city,UT,40.76078,-111.89105,215548,0.9
spa idaho,Idaho,state,ID,,,0,0.93
utah activities,Utah,state,UT,,,0,0.93
salt lake pass,Salt Lake City,city,UT,40.76078,-111.89105,215548,0.9
nickelmania,,,,,,0,0.0
kangaroozoo,,,,,,0,0.0
ogden utah,Ogden,city,UT,41.223,-111.97383,85444,0.95
taste of india,,,,,,0,0.0
