name,kind,state,lat,lon,population,variants
Elfers,city,FL,28.21668,-82.72232,13986,Ehlfers|ai er fu si|alfrs  flwryda|elpharsa|Елферс|Элферс|الفرس، فلوریدا|एल्फर्स|埃爾弗斯
Englewood,city,FL,26.96201,-82.3526,14863,Englvud|Inglvud|anghlwwd|anglwwd|anqlwwd  flwryda|en ge er wu de|eng-geul-udeu|enjelavuda|Енглвуд|Инглвуд|إنغلوود|انقلوود، فلوریدا|انگلوود|एंजेलवूड|恩格爾伍德|엥글우드
Ensley,city,FL,30.51881,-87.27275,20602,Ehnsli|Enslej|Ensli|ansly|ansly  flwryda|en si li|ensli|Енслей|Енсли|Енслі|Энсли|انسلی|انسلی، فلوریدا|एन्स्ली|恩斯利
Estero,city,FL,26.43814,-81.80675,30799,Istero|Естеро|Истеро|एस्तेरो
Eustis,city,FL,28.85277,-81.68535,19986,Justis|awstys  flwryda|you si di si|yustisa|yusutisu|ywstys|Јустис|Юстис|Юстіс|اوستیس، فلوریدا|يوستيس|युस्तिस|ユースティス|尤斯蒂斯
Fairview Shores,city,FL,28.59111,-81.39424,10239,Fehrv'ju-Shors|Fejrv'ju-Shors|Fejrvuju-Shors|Fervju Shors|fei er wei you hai an|frwyw shwrz|frwyw shwrz  flwryda|pheyarabhyu sorsa|Фейрв'ю-Шорс|Фейрвъю-Шорс|Фервју Шорс|Фэрвью-Шорс|فرویو شورز|فرویو شورز، فلوریدا|فیئرویو شوریس، فلوریڈا|फेयरभ्यू शोर्स|費爾維尤海岸
Fernandina Beach,city,FL,30.66968,-81.46259,12339,Amelia Beach|Egmont Town|Fernandina|Fernandina Bich|fei nan di na bi qi|frnandyna bych  flwryda|frnandyna bytsh|pharn'yandina bica|Фернандина Бич|فرناندينا بيتش|فرناندینا بیچ، فلوریدا|फर्न्यांडिना बीच|费南迪纳比奇
Ferry Pass,city,FL,30.5102,-87.21247,28921,Feri Pas|Ferri-Pass|pheri pasa|Фери Пас|Ферри-Пасс|फेरी पास
Fish Hawk,city,FL,27.85058,-82.21092,14087,Finsh-Gok|Fish Khok|Fish-Khouk|fei shen huo ke|fyshhawk|fyshhawk  flwryda|phisa haka|Финш-Гок|Фиш Хок|Фиш-Хоук|Фінш-Гок|فیشهاوک|فیشهاوک، فلوریدا|फिश हक|菲什霍克
Flagami,city,FL,25.76232,-80.31616,50834,
Fleming Island,city,FL,30.0933,-81.71898,27126,
Florida City,city,FL,25.44789,-80.47922,13085,Florida Siti|Florida-Siti|Urbo Florido|flwryda syty|flwryda syty  flwryda|flxrida si ti|fu luo li da shi|furoridashiti|peullolidasiti|phlorida siti|Флорида Сити|Флорида Цитy|Флорида-Сити|Флорида-Сіті|فلوريدا سيتى|فلوريدا سيتي|فلوریدا سیتی، فلوریدا|फ्लोरिडा सिटी|ฟลอริดาซิตี|フロリダシティ|佛罗里达市|佛羅里達市|플로리다시티
Florida Ridge,city,FL,27.58031,-80.38672,18164,Florida Ridz|Florida-Ridzh|flwryda ryj|flwryda ryj  flwryda|fu luo li da li qi|phlorida rija|Флорида Риџ|Флорида-Ридж|فلوریدا ریج|فلوریدا ریج، فلوریدا|फ्लोरिडा रीज|佛羅里達里奇
Forest City,city,FL,28.66678,-81.44334,13854,Forest-Siti|Forist Siti|farst syty|farst syty  flwryda|pharesta siti|sen lin cheng|Форест-Сити|Форест-Сіті|Форист Сити|فارست سیتی|فارست سیتی، فلوریدا|फरेस्ट सिटी|森林城
Fort Lauderdale,city,FL,26.12231,-80.14338,183146,FLL|Fort Loderdeil|Fort Loderdeilas|Fort Loderdejl|Fort Lodurdejl|Fort-Loderdejl|Fortloderdeila|Ft. Lauderdale|f xr tlxde xrdel|fotorodaderu|fwrt ladrdyl  flwryda|fwrt lawdrdal|lao de dai er bao|pharta la'udaradela|phorta lodaradela|poteulodeodeil|pwrt lwdrdyyl|Форт Лодердејл|Форт Лодърдейл|Форт-Лодердейл|פורט לודרדייל|فورت لادردیل، فلوریدا|فورت لاودردال|فورٹ لاؤڈرڈیل|فورٹ لاوڈرڈیل، فلوریڈا|फर्ट लाउदरदेल|फोर्ट लॉडरडेल|ฟอร์ตลอเดอร์เดล|フォートローダーデール|劳德代尔堡|포트로더데일
Fort Myers,city,FL,26.62168,-81.84059,74013,FMY|Fort Majers|Fort-Maers|Ft. Myers|Myers|fotomaiyazu|fwrt mayrz|fwrt mayrz  flwryda|mai er zi bao|pharta mayarsa|poteumaieoseu|Форт Майерс|Форт Мајерс|Форт-Маєрс|فورت مايرز|فورت مایرز، فلوریدا|फर्ट मायर्स|フォートマイヤーズ|麥爾茲堡|포트마이어스
Fort Pierce,city,FL,27.44671,-80.32561,44484,FPR|Fort Pirs|Fort-Pirs|Ft. Pierce|fwrt byrs|fwrt pyrs  flwryda|pharta piyarsa|pi er si bao|Форт Пирс|Форт-Пірс|فورت بيرس|فورت پیرس، فلوریدا|फर्ट पियर्स|匹尔斯堡
Fort Walton Beach,city,FL,30.42059,-86.61707,21817,Camp Walton|Fort Volton Bich|Fort-Volton-Bich|Ft Walton Beach|VPS|fotouorutonbichi|fwrt waltwn bych  flwryda|fwrt waltwn bytsh|hua er dun bao tan|pharta valatana bica|poteuwolteonbichi|Форт Волтон Бич|Форт-Волтон-Бич|Форт-Волтон-Біч|Форт-Уолтон-Бич‎|فورت والتون بيتش|فورت والتون بیچ، فلوریدا|फर्ट वालटन बीच|フォートウォルトンビーチ|华尔顿堡滩|華爾頓堡灘|포트월턴비치
Fountainebleau,city,FL,25.77288,-80.34783,59764,Fountainbleau
Fruit Cove,city,FL,30.11107,-81.64176,29362,
Fruitville,city,FL,27.32977,-82.4576,13224,Fruitvile|Frutvil|Frutvill|frwtywyl|frwtywyl  flwryda|fu lu te wei er|phrutabhila|Фруитвиле|Фрутвил|Фрутвилл|Фрутвілл|فروتیویل|فروتیویل، فلوریدا|फ्रुटभिल|弗魯特維爾
Gainesville,city,FL,29.65163,-82.32483,145214,GNV|Gainesopolis|Geinsvilis|Gejnsvil|Gejnsvill|Hog Town|ga'insabhila|gai en si wei er|geinjeubil|geinzubiru|ghynzfyl|gynzwyl  flwryda|gyynswwyl|Гейнсвил|Гейнсвилл|Гейнсвілл|Гејнсвил|גיינסוויל|غينزفيل|گینزویل، فلوریدا|गाइन्सभिल|ゲインズビル|蓋恩斯維爾|게인즈빌
Gibsonton,city,FL,27.85364,-82.38259,14234,Gibtown
Gladeview,city,FL,25.83926,-80.2356,11535,Glejdv'ju|Glejdvju|Glejdvuju|ge la de wei you|glyadabhyu|glydwyw|qlydwyw  flwryda|Глейдв'ю|Глейдвъю|Глейдвью|Глејдвју|قلیدویو، فلوریدا|گلیدویو|ग्ल्याडभ्यू|格拉德維尤|格拉德维尤
Glenvar Heights,city,FL,25.7076,-80.32561,16898,
Golden Gate,city,FL,26.18787,-81.69509,23961,Golden Gejt|Golden-Gejt|ge er deng gai te|gldn gyt|goldena geta|qldn qyt  flwryda|Голден Гејт|Голден-Гейт|قلدن قیت، فلوریدا|گلدن گیت|गोल्डेन गेट|戈爾登蓋特
Golden Glades,city,FL,25.91176,-80.20033,33145,Golden Glejds|Golden-Glejds|ge er deng ge lai zi|gldn glydz|goldena glyadsa|qldn qlydz  flwryda|Голден Глејдс|Голден-Глейдс|قلدن قلیدز، فلوریدا|گلدن گلیدز|गोल्डेन ग्ल्याड्स|戈爾登格萊茲
Goldenrod,city,FL,28.61028,-81.28868,12039,Golden Rod Station|ge er deng luo de|goldenarada|qwldn rad  flwryda|Голденрод|قولدن راد، فلوریدا|گولدن‌راد|गोल्डेनरड|戈爾登羅德
Gonzalez,city,FL,30.58158,-87.29136,13273,Gonsales|González|gang sa lei si|ghwnzalys|gnzals|gonjaleja|qnzals  flwryda|Гонзалез|Гонсалес|غونزاليس|قنزالس، فلوریدا|گنزالس|गोन्जालेज|冈萨雷斯|岡薩雷斯
Goulds,city,FL,25.56261,-80.38228,11446,Gulds|ga'uldsa|gu er zi|gwldz|qawldz|qwldz  flwryda|Гоулдс|Гулдс|قاولدز|قولدز، فلوریدا|گئولڈز، فلوریڈا|گولدز|गाउल्ड्स|古爾茲
Greenacres City,city,FL,26.62368,-80.12532,32963,Greenacres
Groveland,city,FL,28.55805,-81.85119,11528,Grouvlend|Grovland|ge luo fu lan|ghrwfland|grobhalyanda|grwwlnd  flwryda|guroburando|jrwfland|qrwwlnd  flwryda|Гровеланд|Гровланд|Гроувленд|جروفلاند|غروفلاند|قروولند، فلوریدا|گروولند، فلوریدا|ग्रोभल्यान्ड|グローブランド|格罗夫兰|格羅夫蘭
Gulf Gate Estates,city,FL,27.25173,-82.51471,10911,
Gulfport,city,FL,27.74836,-82.70343,12322,Galfport|Galfporta|Gulf Port|galphaporta|garufupoto|ge er fu bo te|ghwlfbwrt|jwlfbwrt|qwlfpwrt  flwryda|Галфпорт|Галфпорта|Гулфпорт|جولفبورت|غولفبورت|قولفپورت، فلوریدا|گالف‌پورت|گلف پورٹ، فلوریڈا|गल्फपोर्ट|ガルフポート|格尔夫波特|格爾夫波特
Haines City,city,FL,28.1145,-81.62009,22807,Gejns-Siti|Khaines City|Khejns Siti|ha'insa siti|hai en si cheng|hainzushiti|hynz syty|hynz syty  flwryda|Гейнс-Сити|Гейнс-Сіті|Хаинес Цитy|Хејнс Сити|هينز سيتى|هينز سيتي|هینز سیتی، فلوریدا|हाइन्स सिटी|ハインズシティ|海恩斯城
Hallandale Beach,city,FL,25.9812,-80.14838,39488,Gallandejl|Hallandale|Khalandejl Bich|Khallandejl-Bich|ha lun dai er hai tan|halandyl bych  flwryda|halandyl bytsh|halyandela|Галландейл|Халандејл Бич|Халландейл-Бич|هالانديل بيتش|هالاندیل بیچ، فلوریدا|हल्यांडेल|ハランデール・ビーチ|哈伦代尔海滩|哈倫代爾海灘
Hialeah,city,FL,25.8576,-80.27811,237069,Hajalija|Khajalia|Khajalija|hai e li ya|haiaria|haieollia|hayali'ah|hyalya  flwryda|hyalyh|Хайалиа|Хаялия|Хаяліа|Хајалија|هياليه|هیالیا، فلوریدا|ہیالیاہ، فلوریڈا|ہیالیح|हायालिआः|ハイアリア|海厄利亞|하이얼리아
Hialeah Gardens,city,FL,25.8651,-80.3245,23926,Khajalija Gardens|hayali'ah gardensa|hyalya gardnz  flwryda|hyalyh ghardnz|Хајалија Гарденс|هياليه غاردنز|هیالیا گاردنز، فلوریدا|हायालिआः गार्डेन्स
Highland City,city,FL,27.9653,-81.87786,10834,Gajlend-Siti|Khajland Siti|Khajlend-Siti|gao de cheng|ha'ilyanda siti|haylnd syty|haylnd syty  flwryda|Гайленд-Сити|Гайленд-Сіті|Хайленд-Сити|Хајланд Сити|هایلند سیتی|هایلند سیتی، فلوریدا|हाइल्यान्ड सिटी|高地城
Hobe Sound,city,FL,27.0595,-80.13643,11521,Khob Saund|hoba sa'unda|Хоб Саунд|होब साउन्ड
Holiday,city,FL,28.18779,-82.73955,22403,Golidej|Kholidaj|Kholidej|ha le di|halydy|halydy  flwryda|holide|horide|Голидей|Голідей|Холидай|Холидей|Холидеј|هالیدی|هالیدی، فلوریدا|होलिडे|ホリデー|哈樂迪
Holly Hill,city,FL,29.24359,-81.03756,11943,Golli-Gill|Kholi Khil|Kholly Khill|hali hila|huo li xi er|hwly hyl|hwly hyl  flwryda|Голли-Гилл|Голлі-Гілл|Холи Хил|Холлy Хилл|هولى هيل|هولي هيل|هولی هیل، فلوریدا|हलि हिल|霍利希尔|霍利希爾
Hollywood,city,FL,26.0112,-80.14949,149728,Gollivud|HWO|Hollywood by the Sea|Kholivud|Khollivud|halivuda|halliudeu|halywwd  flwryda|hao lai wu|hariuddo|hwlywwd|Голливуд|Голлівуд|Холивуд|Холливуд|הוליווד|هالیوود، فلوریدا|هوليوود|ہالی ووڈ، فلوریڈا|ہولی وڈ|हलिवूड|ハリウッド|好萊塢|할리우드
Homestead,city,FL,25.46872,-80.47756,80737,Gomsted|HST|Khomsted|homasteda|homusuteddo|huo mu si te de|hwmstd|hwmstd  flwryda|hwmstyd|hwmztyd  flwryda|Гомстед|Хомстед|הומסטד|هومزتید، فلوریدا|هومستد، فلوریدا|هومستيد|होमस्टेड|ホームステッド|霍姆斯特德
Homosassa Springs,city,FL,28.80359,-82.57593,13791,
Hudson,city,FL,28.36445,-82.69343,12158,Gadson|Gudzon|Khadson|ha de xun|hadsana|hwdswn  flwryda|Гадсон|Гудзон|Хадсон|هودسون، فلوریدا|ہڈسن، فلوریڈا|हड्सन|哈德遜
Hunters Creek,city,FL,28.36056,-81.42229,14321,
Immokalee,city,FL,26.41869,-81.4173,24154,IMM|Immokali|Imokale|Imokali|aymwkaly|aymwkaly  flwryda|im'mokyali|imokari|yi mo ka li|Іммокалі|Иммокали|Имокале|Имокали|إيموكالي|ایموکالی|ایموکالی، فلوریدا|इम्मोक्याली|イモカリー|伊莫卡利
Iona,city,FL,26.52036,-81.96398,15369,
Ives Estates,city,FL,25.96231,-80.17671,19525,Ajvis-Istejts|Ajvs Estejts|Ajvs-Estejts|a'ibheja estetsa|aywz astyts  flwryda|yi fu si zhuang yuan|Айвис-Истейтс|Айвс-Естейтс|Ајвс Естејтс|آیوز استیتس، فلوریدا|आइभेज एस्टेट्स|伊夫斯莊園
Jacksonville,city,FL,30.33218,-81.65565,1009833,Ceksonvill|Cow Creek|Cow Ford|Cowford|Dzeksonvil|Dzeksonvila|Dzeksonvilis|Dzhaksnvil|Dzhehksanvil|Dzhehksonvill|Dzheksonvill|Džeksonvila|Džeksonvilis|Gaksonvilo|Iacsoniapolis|Iacsonvilla|JAX|Tzaksonvil|Wakka Pilatka|Zhehksonvill|gqswnwwyl|jaegseunbil|jaikasanavila|jaiksanavila|jakcanvil|jakswnfyl|jakusonbiru|jeksanavhila|jeksonvili|jie ke xun wei er|jyakasanabhila|jyaksanabhila|jyksn wyl|Ĝaksonvilo|Τζάκσονβιλ|Џексонвил|Джаксънвил|Джексонвілл|Джэксанвіл|Джэксонвилл|Жэксонвилл|Ջեքսոնվիլ|גקסונוויל|جاكسونفيل|جکسون‌ویل|جیکسن ویل|जॅक्सनव्हिल|जैक्सनविल|ज्याकसनभिल|জ্যাক্সনভিল|ਜੈਕਸਨਵਿਲ|ஜாக்சன்வில்|แจ็กสันวิลล์|ჯექსონვილი|ジャクソンビル|杰克逊维尔|잭슨빌
Jacksonville Beach,city,FL,30.29469,-81.39314,23064,Dzeksonvil Bich|Pablo Beach|jakswnfyl bytsh|jie ke xun wei er hai tan|jyakasanabhila bica|Џексонвил Бич|جاكسونفيل بيتش|جکسون‌ویل بیچ، فلوریدا|جککسونویل بیچ، فلوریڈا|ज्याकसनभिल बीच|杰克逊维尔海滩
Jasmine Estates,city,FL,28.29306,-82.6901,18989,Dzasmin Estejts|Dzhazmin-Estejts|Dzhesmajn-Istejts|jasmyn astyts|jasmyn astyts  flwryda|jyasmina estetsa|mo li hua zhuang yuan|Џасмин Естејтс|Джазмин-Естейтс|Джазмін-Естейтс|Джесмайн-Истейтс|جاسمین استیتس|جاسمین استیتس، فلوریدا|جیسمین اسٹیٹس، فلوریڈا|ज्यास्मिन एस्टेट्स|茉莉花莊園
Jensen Beach,city,FL,27.25449,-80.22977,11707,Dzhensen-Bich|Jensen Bich|jensena bica|Јенсен Бич|Дженсен-Бич|जेन्सेन बीच
Jupiter,city,FL,26.93422,-80.09421,62707,Dzhjupiter|Dzupiter|Júpiter|jupita|jwbytr  flwryda|zhu bi te|zhwpytr  flwryda|Џупитер|Джюпітер|Юпитер|جوبيتر، فلوريدا|ژوپیتر، فلوریدا|ジュピター|朱庇特
Kendale Lakes,city,FL,25.70816,-80.407,56148,Kendejl|Kendejl Lejks|Kendejl-Lejks|kenadela leksa|kndyl lyks|kndyl lyks  flwryda|Кендейл|Кендейл-Лейкс|Кендејл Лејкс|کندیل لیکس|کندیل لیکس، فلوریدا|केनडेल लेक्स|ケンデール・レイクス
Kendall,city,FL,25.67927,-80.31727,80241,Kendal|kendala|Кендал|Кендалл|केन्डल
Key Biscayne,city,FL,25.69371,-80.16282,12990,Ki Biskeinas|Ki Biskejn|bi si kan wan|ki bis'sayana|ky byskayn|ky byskyn  flwryda|Ки Бискејн|كي بيسكاين|کی بیسکین، فلوریدا|की बिस्सायन|比斯坎湾
Key Largo,city,FL,25.08652,-80.44728,10433,Cayo Largo|KYL|Ki-Largo|ki largo|Ки-Ларго|की लार्गो
Key West,city,FL,24.55524,-81.78163,25755,Allentown|Bone Island|Caio Os|Cayo Hueso|Cayo Huesso|Cayo de Huesos|EYW|Keywest|Ki Vest|Ki Vestas|Ki-Uehst|Ki-Vest|ji wei si te|ki vesta|kiuesuto|kiweseuteu|ky wst  flwryda|ky wyst|qy wst|Ки Вест|Ки-Уэст|Кі-Вест|Кі-Уэст|קי וסט|كي ويست|کی وست، فلوریدا|की वेस्ट|კი-უესტი|キーウェスト|基韋斯特|키웨스트
Keystone,city,FL,28.15585,-82.62121,24039,
Kings Point,city,FL,26.44535,-80.13977,12201,Kings Pojnt|Kings-Pojnt|jin si bo yin te|kingas po'inta|Кингс Појнт|Кингс-Пойнт|किङ्गस् पोइन्ट|金斯波因特
Kissimmee,city,FL,28.30468,-81.41667,69152,Kisimi|Kissimmi|ji xi mi|kishimi|kisime|kysymy|kysymy  flwryda|qysymy|Кисими|Киссимми|Кіссіммі|קיסימי|كيسيمي|کیسیمی، فلوریدا|किसिमे|キシミー|基西米
Lady Lake,city,FL,28.91749,-81.92286,14717,Ledi-Lejk|Lejdi Lejk|ledi leka|lydy lyk|lydy lyk  flwryda|sheng mu hu|Леди-Лейк|Лејди Лејк|ليدي ليك|لیدی لیک، فلوریدا|لیڈی لیک، فلوریڈا|लेडी लेक|圣母湖
Lake Butler,city,FL,28.50167,-81.54091,15400,Lake Butter
Lake City,city,FL,30.18968,-82.63929,12161,LCQ|Lejk Siti|lai ke cheng|leka siti|lyk syty|lyk syty  flwryda|Лејк Сити|ليك سيتي|لیک سٹی، فلورایڈا|لیک سیتی، فلوریدا|लेक सिटी|莱克城
Lake Magdalene,city,FL,28.07418,-82.47176,28509,
Lake Mary,city,FL,28.75888,-81.31784,16021,Lejk Meri|leka meri|lyk mary|lyk mry  flwryda|ma li hu|Лејк Мери|ليك ماري|لیک مری، فلوریدا|لیک میری، فلورایڈا|लेक मेरी|玛丽湖
Lake Wales,city,FL,27.90141,-81.58591,15541,Lejk Vejls|Lejk-Uehjls|Lejk-Vejls|leka velsa|lyk wylz|lyk wylz  flwryda|lyyq wls|reikuueruzu|wei er shi hu|wei er si hu|Лейк-Вейлс|Лейк-Уэйлс|Лејк Вејлс|Լեյք Ուելս|לייק ולס|ليك ويلز|لیک ویلز، فلورایڈا|لیک ویلز، فلوریدا|लेक वेल्स|レイクウェールズ|威尔士湖|威爾士湖|威爾斯湖
Lake Worth Beach,city,FL,26.61708,-80.07231,37498,Lake Worth|Lejk Vort|lai ke wo si|leka vartha|lyk wrth  flwryda|lyk wwrth|Лејк Ворт|ليك وورث|لیک ورتھ، فلورایڈا|لیک ورث، فلوریدا|लेक वर्थ|莱克沃思
Lake Worth Corridor,city,FL,26.61649,-80.10102,20635,Lake Worth Corridor CDP|Lejk-Uehrt-Korridor|leka vartha karidara|lyk wrth kwrydwr|lyk wrth kwrydwr  flwryda|wo si hu zou lang|Лейк-Уэрт-Корридор|لیک ورتھ کوریڈور، فلورایڈا|لیک ورث کوریدور|لیک ورث کوریدور، فلوریدا|लेक वर्थ करिडर|沃思湖走廊
Lakeland,city,FL,28.03947,-81.9498,104401,LAL|Lehjklehnd|Leiklandas|Leiklande|Leiklant|Lejkland|Lejklend|Leyklend|lai ke lan|leikeullaendeu|lek lyand|lekalainda|lekalamda|lekalenda|lekalyanda|leklent|leklyand|lykland|lyyqlnd|reikurando|Λέικλαντ|Лейкланд|Лейкленд|Лејкланд|Лэйклэнд|לייקלנד|ليكلاند|لیک لینڈ، فلورایڈا|لیک‌لند|لیک‌لند، فلوریدا|लेकलँड|लेकलैंड|लेकल्यान्ड|লেকল্যান্ড|લેકલેંડ|லேக்லேண்ட்|లేక్ల్యాండ్|ಲೇಕ್ ಲ್ಯಾಂಡ್|ලේක්ලන්ඩ්|เลคแลนด์|レイクランド|莱克兰|萊克蘭|레이클랜드
Lakeland Highlands,city,FL,27.95975,-81.95008,11056,Lejkland Khajlands|Lejklend-Gajlends|Lejklend-Khajlends|lekalyanda ha'ilyandsa|Лейкленд-Гайлендс|Лейкленд-Хайлендс|Лејкланд Хајландс|لیک لینڈ ہائی لینڈز، فلورایڈا|لیک‌لندز های‌لندز|لیک‌لندز های‌لندز، فلوریدا|लेकल्यान्ड हाइल्यांड्स
Lakes by the Bay,city,FL,25.57233,-80.32533,11422,leksa ba'i da be|lyks bay d by|lyks bay d by  flwryda|لیکس بائے دی بے، فلورایڈا|لیکس بای د بی|لیکس بای د بی، فلوریدا|लेक्स बाइ द बे
Lakeside,city,FL,30.12996,-81.76815,30943,Lejksajd|lai ke sai de|lekasa'ida|Лейксайд|Лејксајд|لیک سائڈ، فلوریڈا|لیک‌ساید|لیک‌ساید، فلوریدا|लेकसाइड|萊克賽德
Lakewood Park,city,FL,27.54309,-80.40227,11323,Lejkvud Park|Lejkvud-Park|lai ke wu de gong yuan|lekavuda parka|Лейквуд-Парк|Лејквуд Парк|لیک ووڈ پارک، فلورایڈا|لیک‌وود پارک|لیک‌وود پارک، فلوریدا|लेकवूड पार्क|萊克伍德公園
Land O' Lakes,city,FL,28.2189,-82.45759,31996,
Lantana,city,FL,26.58674,-80.05199,11136,Lantona
Largo,city,FL,27.90979,-82.78842,81000,Largas|Larnko|la ge|lago|lar ko|larago|larghw|largw  flwryda|larjw|larko|larqw  flwryda|rarugo|Λάργκο|Ларго|Ларґо|לארגו|لارجو|لارغو|لارقو، فلوریدا|لارگو، فلورایڈا|لارگو، فلوریدا|लार्गो|লারগো|લાર્ગો|லார்கோ|లార్గో|ಲಾರ್ಗೊ|ලාර්ගෝ|ลาร์โก|ラルゴ|拉哥|라고
Lauderdale Lakes,city,FL,26.16647,-80.20838,34796,Loderdejl Lejks|Loderdejl-Lejks|lao de dai er hu|laundaradeladela leksa|lawdrdyl lyks|lwdrdyl lyks  flwryda|Лодердейл-Лейкс|Лодердејл Лејкс|لاودرديل ليكس|لودردیل لیکس، فلوریدا|लौन्डरडेलडेल लेक्स|劳德代尔湖|勞德代爾湖
Lauderhill,city,FL,26.14036,-80.21338,71579,
Lealman,city,FL,27.82114,-82.67927,19879,Lellman|Lellman Station|Lilman|Lilmen|li er man|lyamn|lyamn  flwryda|Леалман|Лилман|Лилмен|Лілмен|لیامن|لیامن، فلوریدا|利爾曼
Leesburg,city,FL,28.81082,-81.87786,21993,LEE|Leesburg (Florida)|Lijsburg|Lisburg|Lizburg|li si bao|lijbarga|lysbrg  flwryda|lysbrgh|lysbrj|lysbrq  flwryda|rizubagu|Лизбург|Лийсбърг|Лисбург|Лісбург|ليسبرج|ليسبرغ|لیزبرگ، فلوریڈا|لیسبرق، فلوریدا|لیسبرگ، فلوریدا|लीज्बर्ग|リーズバーグ|利斯堡
Lehigh Acres,city,FL,26.62535,-81.6248,86784,Leeland Heights|Lehigh
Leisure City,city,FL,25.49539,-80.42922,26324,Lezher-Siti|Lizher Siti|Lizher-Siti|lijara siti|lyzhr syty|lyzhr syty  flwryda|xiu jian cheng|Лежер-Сити|Лижер Сити|Лижер-Сити|Ліжер-Сіті|لیژر سیتی|لیژر سیتی، فلوریدا|लीजर सिटी|休閒城
Lighthouse Point,city,FL,26.27564,-80.08727,11104,Lajtgauz-Pojnt|Lajtkhaus Pojnt|Lighthouse PT|la'itaha'usa po'inta|lai te hao si bo yin te|laythaws bwynt|laythaws pwynt  flwryda|Лайтгауз-Пойнт|Лајтхаус Појнт|لائٹ ہاوس پوائنٹ، فلوریڈا|لايتهاوس بوينت|لایتهاوس پوینت، فلوریدا|लाइटहाउस पोइन्ट|莱特豪斯波因特|萊特豪斯波因特
Lockhart,city,FL,28.61944,-81.44257,13060,Lokgart|Lokkhart|lakaharta|lakhart|lakhart  flwryda|luo ke ha te|Локгарт|Локхарт|لاکهارت|لاکهارت، فلوریدا|लकहार्ट|洛克哈特
Longwood,city,FL,28.70305,-81.3384,14085,Longvud|lang wu de|langavuda|lanqwwd  flwryda|lwnghwwd|lwngwwd|lwnjwwd|ronguuddo|Лонгwоод|Лонгвуд|לונגווד|لانقوود، فلوریدا|لانگ‌وود|لونجوود|لونغوود|लङ्गवूड|ロングウッド|朗伍德
Lutz,city,FL,28.15112,-82.46148,19344,Lutc|Лутц
Lynn Haven,city,FL,30.24548,-85.64826,20156,Lin Khejven|Linn-Gejven|layn hafn|lin en bi feng gang|lina hyabhena|lyn hawn  flwryda|lyn hywn  flwryda|Лин Хејвен|Линн-Гейвен|Лінн-Гейвен|لاين هافن|لین هاون، فلوریدا|لین هیون، فلوریدا|لین ہیون، فلوریڈا|लीन ह्याभेन|林恩避風港|林恩避风港
Maitland,city,FL,28.62778,-81.36312,17463,Lake Maitland|Mejtland|Mejtlend|me'italyanda|mei te lan|meitorando|mytland|Маитланд|Мейтленд|Мејтланд|ميتلاند|میت‌لند|میت‌لند، فلوریدا|میٹلینڈ، فلوریڈا|मेइटल्यांड|メイトランド|梅特兰|梅特蘭
Mango,city,FL,27.97974,-82.30648,11313,
Marco,city,FL,25.9726,-81.72898,14879,Collier City North|Malco|Marco Island
Marco Island,city,FL,25.94121,-81.71842,17690,MRK|Marko Ajland|Marko-Ajlend|ma ke dao|marko a'ilyanda|markw ayland|markw aylnd  flwryda|markw ayslnd  flwryda|Марко Ајланд|Марко-Айленд|ماركو آيلاند|مارکو آیلند، فلوریدا|مارکو ایسلند، فلوریدا|मार्को आइल्यान्ड|馬可島|马可岛
Margate,city,FL,26.24453,-80.20644,57234,Margejt|ma gai te|mageito|marageta|marghyt|margyt  flwryda|marjyt|marqyt  flwryda|Маргейт|Маргејт|مارجيت|مارغيت|مارقیت، فلوریدا|مارگیت، فلوریدا|मारगेट|マーゲイト|馬蓋特|马盖特
Meadow Woods,city,FL,28.38556,-81.36646,25558,
Melbourne,city,FL,28.08363,-80.60811,84678,MLB|Mel'burn|Melborn|Melburn|melbarna|meruborun|mlbwrn|mlbwrn  flwryda|mo er ben|Мелборн|Мелбурн|Мелбърн|Мельбурн|מלבורן|ملبورن|ملبورن، فلوریدا|ملبورن، فلوریڈا|मेल्बर्न|メルボルン|墨爾本
Merritt Island,city,FL,28.359,-80.69,34743,
Miami,city,FL,25.77427,-80.19366,487014,MIA|Maiami|Majami|Majamis|Mayami|Miamia|Miamo|mai a mi|mai ya mei|maiaemi|maiami|mayami|mayamy|miyami|myamy|myamy  flwryda|Μαϊάμι|Майами|Маями|Маямі|Мајами|Մայամի|מיאמי|مايامى|ميامي|میامی|میامی، فلوریدا|मायामी|मियामी|মায়ামি|માયામિ|மயாமி|మయామి|ಮಿಯಾಮಿ|ไมแอมี|မိုင်ယာမီမြို့|მაიამი|ማያሚ|マイアミ|迈阿密|邁亞美|邁阿密|마이애미
Miami Beach,city,FL,25.79065,-80.13005,92312,Majami Bich|Majami Bijch|Majami-Bich|Saut Bich|mai a mi hai tan|maiaemibichi|maiamibichi|mayami bica|myamy bych  flwryda|myamy bytsh|Майами-Бич|Маями Бийч|Маямі-Біч|Мајами Бич|Саут Бич|ميامي بيتش|میامی بیچ، فلوریدا|میامی بیچ، فلوریڈا|मायामी बीच|マイアミビーチ|迈阿密海滩|마이애미비치
